"id","code","name","hs_level","created_at","updated_at"
1248,"2907","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1249,"5511","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1250,"7320","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1251,"0302","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1252,"2916","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1253,"8458","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1254,"8433","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1255,"2207","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1256,"6914","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1257,"8535","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1258,"4409","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1259,"2813","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1260,"8102","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1261,"0508","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1262,"9406","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1263,"2522","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1264,"9618","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1265,"4408","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1266,"5208","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1267,"8465","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1268,"8541","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1269,"8211","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1270,"5305","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1271,"6901","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1272,"8517","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1273,"2847","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1274,"8511","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1275,"9001","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1276,"8509","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1277,"8607","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1278,"3802","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1279,"5809","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1280,"2927","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1281,"8538","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1282,"3809","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1283,"4818","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1284,"7501","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1285,"0205","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1286,"8212","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1287,"3006","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1288,"7008","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1289,"6502","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1290,"3823","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1291,"4503","H6",4,"2025-03-18 03:30:53.298333","2025-03-18 03:30:53.298333"
1292,"7419","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1293,"6702","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1294,"1903","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1295,"2208","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1296,"0301","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1297,"1802","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1298,"4015","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1299,"6807","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1300,"6603","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1301,"0707","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1302,"7306","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1303,"7118","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1304,"9601","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1305,"5513","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1306,"2618","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1307,"1516","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1308,"9004","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1309,"2842","H6",4,"2025-03-18 03:30:53.301335","2025-03-18 03:30:53.301335"
1310,"7606","H6",4,"2025-03-18 03:30:53.302303","2025-03-18 03:30:53.302303"
